
#     NAME                     P0                                     P1
                               (s)
-------------------------------------------------------------------------------------------------------
195   J0453+1559    dsm+13     0.0457818168729515      33  msf+15     1.8612E-19         8  msf+15 

196   J0454+4529    mhl+18     1.3891369360             4  tbc+20     4.888E-15          2  tbc+20 
197   B0450+55      dth78      0.340729436235          10  hlk+04     2.37227E-15        7  hlk+04 
198   B0456-69      mmh+91     0.320422711526          12  ckm+01     1.02119E-14       15  ckm+01 
199   J0456-69      rcl+13     0.117073051             15  rcl+13     *                  0  *
200   J0456-7031    mfl+06     0.80013207321           10  mfl+06     36.70E-15          3  mfl+06 

201   J0457+23      dsm+13     0.5049                   0  dsm+13     *                  0  *
202   J0457-6337    mfl+06     2.49701169613           19  mfl+06     0.21E-15           3  mfl+06 
203   J0457-69      rcl+13     0.231390388             73  rcl+13     *                  0  *
204   J0458-0505    lbr+13     1.88347965849           18  lbr+13     5.3E-16           15  lbr+13 
205   J0458-67      rcl+13     1.1339000               18  rcl+13     *                  0  *

206   J0459-0210    mld+96     1.133076123659           6  hlk+04     1.39825E-15        6  hlk+04 
207   J0501+4516    gwk08      5.76209653               4  gwk+10     5.82E-12           3  gwk+10 
208   B0458+46      dth78      0.638565481517           3  hlk+04     5.582339E-15      17  hlk+04 
209   B0502-66      mmh+91     0.69125141818            4  ckm+01     2.3090E-14         6  ckm+01 
210   J0506+50      qpl+19     0.00339                  0  aab+22     *                  0  *

211   J0509+0856    mgf+19     0.0040558382315644       5  mgf+19     4.412E-21         12  mgf+19 
212   J0509+37      tkt22      2.4961                   0  tkt22      *                  0  *
213   J0509+3801    slr+14     0.07654134872199        12  lsk+18     7.931E-18          3  lsk+18 
214   J0511-6508    mfl+06     0.322061827468           8  mfl+06     0.206E-15          4  mfl+06 
215   J0514-4002A   fgri04     0.004990575114112        3  rfgr19     7.0E-22           13  rfgr19 

216   J0514-4002B   rfg+22     0.0028163                0  rfg+22     *                  0  *
217   J0514-4002C   rfg+22     0.0055648                0  rfg+22     *                  0  *
218   J0514-4002D   rfg+22     0.0045544                0  rfg+22     *                  0  *
219   J0514-4002E   rfg+22     0.0055959                0  rfg+22     *                  0  *
220   J0514-4002F   rfg+22     0.0043294                0  rfg+22     *                  0  *

221   J0514-4002G   rfg+22     0.0038028                0  rfg+22     *                  0  *
222   J0514-4002H   rfg+22     0.0055061                0  rfg+22     *                  0  *
223   J0514-4002I   rfg+22     0.0326542                0  rfg+22     *                  0  *
224   J0514-4002J   rfg+22     0.0066329                0  rfg+22     *                  0  *
225   J0514-4002K   rfg+22     0.0046920                0  rfg+22     *                  0  *

226   J0514-4002L   rfg+22     0.0029588                0  rfg+22     *                  0  *
227   J0514-4002M   rfg+22     0.0047978                0  rfg+22     *                  0  *
228   J0514-4002N   rfg+22     0.0055679                0  rfg+22     *                  0  *
229   J0514-4408    bcm+16     0.3202708224090          7  brs+19     2.042031E-15      11  brs+19 
230   J0517+2212    cha03      0.2223665151982          7  bfrs18     1.16047E-17       15  bfrs18 

231   J0518+5125    scb+19     0.912511685262           8  mbc+20     1.91E-16           1  mbc+20 
232   J0518+5416    slr+14     0.340202651600           6  lsk+18     1.676E-15          4  lsk+18 
233   J0519+44      hrk+08     0.515                    0  hrk+08     *                  0  *
234   J0519-6932    mfl+06     0.263211634568           3  mfl+06     0.6968E-15         5  mfl+06 
235   J0520-2553    lml+98     0.2416421756731          7  hlk+04     3.0092E-17         9  hlk+04 

236   J0521-68      rcl+13     0.43342070              30  rcl+13     *                  0  *
237   J0522-6847    mfl+06     0.67453190906            3  mfl+06     17.727E-15        14  mfl+06 
238   J0523-7125    wmk+22     0.3225                   0  wmk+22     *                  0  *
239   B0523+11      mlt+78     0.35443759451370        13  hlk+04     7.36052E-17        6  hlk+04 
240   J0525-6607    mgi+79     8.0470                   2  kkm+03     6.5E-11            5  kkm+03 

241   B0525+21      sr68       3.74553925030            3  ywml10     4.00530E-14       15  ywml10 
242   J0529-0715    clh+20     0.689223601359           9  clh+20     5.755E-16          9  clh+20 
243   B0529-66      mhah83     0.975736826742          20  lbs+20     1.54735E-14        4  lbs+20 
244   J0530-39      mss+20     0.907                    0  mss+20     *                  0  *
245   J0532-6639    mfl+06     0.64274275093            3  mfl+06     5.354E-15         13  mfl+06 

246   J0532-69      rcl+13     1.1491957               14  rcl+13     *                  0  *
247   J0533+0402    snt97      0.963017825057          19  lbs+20     1.6002E-16         8  lbs+20 
248   J0533-4524    ovm+20     0.157284525096           2  ovm+20     2.8024E-16         2  ovm+20 
249   J0533+6759    san16      0.0043881599698794       4  saa+23     1.2618E-20         6  saa+23 
250   J0534-13      mss+20     0.979                    0  mss+20     *                  0  *

251   B0531+21      sr68       0.0333924123            12  ljg+15     4.20972E-13        3  ljg+15 
252   J0534+34      ttm18      *                        0  *          *                  0  *
253   J0534-6703    mfl+06     1.81756503106           17  mfl+06     425.05E-15         6  mfl+06 
254   J0535-66      rcl+13     0.210524357             30  rcl+13     *                  0  *
255   J0535-6935    ckm+01     0.20051133               2  mfl+06     11.5E-15           3  mfl+06 

256   B0538-75      mlt+78     1.245856132914           8  jbv+19     5.777E-16         13  jbv+19 
257   J0537-69      rcl+13     0.112613212             20  rcl+13     *                  0  *
258   J0537-6910    mgz+98     0.0161222220245          4  mgm+04     5.1784338E-14     11  mgm+04 
259   J0538+2817    fcwa95     0.14315825891177        11  klh+03     3.6694515E-15     13  klh+03 
260   J0540+3207    cfl+06     0.5242708632083          5  nab+13     0.44811E-15        2  nab+13 

261   B0540-69      shh84      0.0505697030222         18  fak15      4.789091E-13       3  fak15 
262   J0540-7125    lml+98     1.286014595              3  dsb+98     8.2E-16            8  dsb+98 
263   J0542-68      rcl+13     0.42518900              72  rcl+13     *                  0  *
264   B0540+23      dls72      0.2459747688901         19  hlk+04     1.5422691E-14     19  hlk+04 
265   J0543-6851    mfl+06     0.70895418575            6  mfl+06     3.94E-15           3  mfl+06 

266   J0544+20      dsm+16     *                        0  *          *                  0  *
267   J0545-03      kkl+15     1.07393                  2  kkl+15     *                  0  *
268   J0546+2441    clm+05     2.84385038524            6  clm+05     7.65E-15           3  clm+05 
269   J0550+09      dsm+16     1.745                    0  dsm+16     *                  0  *
270   J0554+3107    pga+13     0.464960965736          16  pga+13     1.426028E-13      11  pga+13 

271   J0555+3948    bck+13     1.1469058                2  bck+13     *                  0  *
272   J0555-7056    mfl+06     0.82783808575            7  mfl+06     5.96E-15           3  mfl+06 
273   J0556-67      hcb+22     0.79054924              64  hcb+22     *                  0  *
